id,member,Ticker,Type,Bought,BuyPrice,Amount,Filed,FilePrice,Spot7,Spot30,Spot90,Spot180
20022978,Kathy E. Manning,NKE,S,04/28/2023,126.72000122070312,"$1,001 - $15,000",05/02/2023,127.26000213623047,126.58999633789062,107.51000213623047,110.38999938964844,103.54000091552734
20022978,Kathy E. Manning,NVDA,P,04/28/2023,27.749000549316406,"$1,001 - $15,000",05/02/2023,28.209999084472656,28.68000030517578,38.94599914550781,46.729000091552734,41.77899932861328
20022978,Kathy E. Manning,NVDA,P,04/28/2023,27.749000549316406,"$1,001 - $15,000",05/02/2023,28.209999084472656,28.68000030517578,38.94599914550781,46.729000091552734,41.77899932861328
20022978,Kathy E. Manning,PKG,P,04/28/2023,135.25999450683594,"$1,001 - $15,000",05/02/2023,133.5500030517578,135.3699951171875,127.19999694824219,153.35000610351562,148.8800048828125
20022978,Kathy E. Manning,PKG,P,04/28/2023,135.25999450683594,"$1,001 - $15,000",05/02/2023,133.5500030517578,135.3699951171875,127.19999694824219,153.35000610351562,148.8800048828125
20022978,Kathy E. Manning,PYPL,P,04/28/2023,76.0,"$1,001 - $15,000",05/02/2023,72.27999877929688,74.97000122070312,60.220001220703125,75.81999969482422,51.4900016784668
20022978,Kathy E. Manning,PYPL,P,04/28/2023,76.0,"$1,001 - $15,000",05/02/2023,72.27999877929688,74.97000122070312,60.220001220703125,75.81999969482422,51.4900016784668
20022978,Kathy E. Manning,PFE,P,04/28/2023,38.88999938964844,"$1,001 - $15,000",05/02/2023,39.060001373291016,38.4900016784668,37.599998474121094,36.060001373291016,30.729999542236328
20022978,Kathy E. Manning,PG,S,04/28/2023,156.3800048828125,"$1,001 - $15,000",05/02/2023,156.42999267578125,156.02999877929688,145.39999389648438,156.3000030517578,150.60000610351562
20022978,Kathy E. Manning,QCOM,P,04/28/2023,116.80000305175781,"$1,001 - $15,000",05/02/2023,116.11000061035156,108.77999877929688,110.3499984741211,132.1699981689453,104.77999877929688
20022978,Kathy E. Manning,QCOM,P,04/28/2023,116.80000305175781,"$1,001 - $15,000",05/02/2023,116.11000061035156,108.77999877929688,110.3499984741211,132.1699981689453,104.77999877929688
20022978,Kathy E. Manning,QCOM,P,04/28/2023,116.80000305175781,"$1,001 - $15,000",05/02/2023,116.11000061035156,108.77999877929688,110.3499984741211,132.1699981689453,104.77999877929688
20022978,Kathy E. Manning,SBUX,S,04/28/2023,114.29000091552734,"$1,001 - $15,000",05/02/2023,114.45999908447266,107.20999908447266,98.52999877929688,101.56999969482422,94.0
20022978,Kathy E. Manning,SBUX,S,04/28/2023,114.29000091552734,"$1,001 - $15,000",05/02/2023,114.45999908447266,107.20999908447266,98.52999877929688,101.56999969482422,94.0
20022978,Kathy E. Manning,SBUX,S,04/28/2023,114.29000091552734,"$1,001 - $15,000",05/02/2023,114.45999908447266,107.20999908447266,98.52999877929688,101.56999969482422,94.0
20022978,Kathy E. Manning,TJX,S,04/28/2023,78.81999969482422,"$1,001 - $15,000",05/02/2023,78.23999786376953,78.5,77.0,86.52999877929688,88.94999694824219
20022978,Kathy E. Manning,TJX,S,04/28/2023,78.81999969482422,"$1,001 - $15,000",05/02/2023,78.23999786376953,78.5,77.0,86.52999877929688,88.94999694824219
20022978,Kathy E. Manning,TJX,S,04/28/2023,78.81999969482422,"$1,001 - $15,000",05/02/2023,78.23999786376953,78.5,77.0,86.52999877929688,88.94999694824219
20022978,Kathy E. Manning,WMT,S,04/28/2023,50.323333740234375,"$1,001 - $15,000",05/02/2023,50.393333435058594,50.59000015258789,48.80666732788086,53.28666687011719,54.253334045410156
20022978,Kathy E. Manning,DIS,S,04/28/2023,102.5,"$1,001 - $15,000",05/02/2023,100.5999984741211,100.5199966430664,88.29000091552734,88.88999938964844,80.58999633789062
20023313,Kathy E. Manning,BX,P,06/10/2022,107.62999725341797,"$15,001 -$50,000",07/13/2023,102.73999786376953,90.25,96.13999938964844,107.2699966430664,77.63999938964844
20022895,Jennifer L. McClellan,VZ,S,05/04/2023,37.349998474121094,"$50,001 -$100,000",05/04/2023,37.349998474121094,37.599998474121094,34.58000183105469,33.31999969482422,35.130001068115234
20022526,Morgan McGarvey,AMZN,P,02/07/2023,102.11000061035156,"$1,001 - $15,000",02/13/2023,99.54000091552734,99.69999694824219,92.25,110.26000213623047,139.57000732421875
20022526,Morgan McGarvey,NVDA,S,02/28/2023,23.215999603271484,"$1,001 - $15,000",03/16/2023,25.541000366210938,23.288000106811523,27.382999420166016,42.99700164794922,46.018001556396484
20022526,Morgan McGarvey,NVDA,S,02/28/2023,23.215999603271484,"$1,001 - $15,000",03/16/2023,25.541000366210938,23.288000106811523,27.382999420166016,42.99700164794922,46.018001556396484
20022656,Morgan McGarvey,NVDA,P,03/07/2023,23.288000106811523,"$1,001 - $15,000",04/03/2023,27.96500015258789,24.062999725341797,27.03700065612793,42.301998138427734,48.50899887084961
20023739,Morgan McGarvey,TWLO,S,08/25/2023,59.369998931884766,"$1,001 - $15,000",09/20/2023,60.22999954223633,65.41999816894531,59.290000915527344,77.8499984741211,56.25
20023977,Morgan McGarvey,SCHW,P,10/05/2023,51.060001373291016,"$1,001 - $15,000",11/07/2023,55.22999954223633,51.5099983215332,55.83000183105469,62.369998931884766,71.45999908447266
20022636,Daniel Meuser,RHHBY,S,02/28/2023,36.04999923706055,"$1,001 - $15,000",03/02/2023,36.400001525878906,35.369998931884766,35.79999923706055,39.59000015258789,36.68000030517578
20022791,Daniel Meuser,RHHBY,S,03/27/2023,35.099998474121094,"$1,001 - $15,000",03/29/2023,35.45000076293945,35.81999969482422,38.68000030517578,39.65999984741211,34.27000045776367
20023070,Daniel Meuser,NVDA,S,05/05/2023,28.68000030517578,"$1,001 - $15,000",06/01/2023,39.77000045776367,28.34000015258789,39.32699966430664,49.263999938964844,42.32500076293945
20023212,Daniel Meuser,NVDA,S,05/31/2023,37.83399963378906,"$250,001 -$500,000",06/01/2023,39.77000045776367,37.474998474121094,42.301998138427734,49.263999938964844,48.242000579833984
20023678,Daniel Meuser,NVDA,S,08/14/2023,43.75299835205078,"$100,001 -$250,000",08/14/2023,43.75299835205078,46.96699905395508,45.48500061035156,48.334999084472656,72.13300323486328
20023678,Daniel Meuser,NVDA,S,08/14/2023,43.75299835205078,"$15,001 -$50,000",08/14/2023,43.75299835205078,46.96699905395508,45.48500061035156,48.334999084472656,72.13300323486328
20023678,Daniel Meuser,NVDA,S,08/14/2023,43.75299835205078,"$15,001 -$50,000",08/14/2023,43.75299835205078,46.96699905395508,45.48500061035156,48.334999084472656,72.13300323486328
20022751,Carol D. Miller,CMI,P,03/03/2023,258.05999755859375,"$1,001 - $15,000",04/17/2023,234.52000427246094,241.82000732421875,238.8800048828125,252.1699981689453,232.02999877929688
20022751,Carol D. Miller,PARA,S,03/03/2023,22.59000015258789,"$1,001 - $15,000",04/17/2023,22.079999923706055,19.889999389648438,22.309999465942383,15.960000038146973,15.100000381469727
20022751,Carol D. Miller,PFE,P,03/03/2023,41.150001525878906,"$1,001 - $15,000",04/17/2023,41.18000030517578,39.38999938964844,40.79999923706055,36.31999969482422,35.900001525878906
20023947,Carol D. Miller,EMXC,P,10/06/2023,49.68000030517578,"$15,001 -$50,000",11/01/2023,48.869998931884766,49.66999816894531,50.68000030517578,54.380001068115234,57.7599983215332
20023947,Carol D. Miller,EMXC,P,10/06/2023,49.68000030517578,"$50,001 -$100,000",11/01/2023,48.869998931884766,49.66999816894531,50.68000030517578,54.380001068115234,57.7599983215332
20024109,Carol D. Miller,EOG,P,11/03/2023,128.16000366210938,"$15,001 -$50,000",12/04/2023,123.0,122.69999694824219,123.5999984741211,116.0999984741211,129.9499969482422
20024109,Carol D. Miller,IGSB,P,11/30/2023,50.65999984741211,"$1,001 - $15,000",12/04/2023,50.61000061035156,50.7400016784668,51.279998779296875,51.060001373291016,51.0099983215332
20024109,Carol D. Miller,CORP,S,11/28/2023,93.70999908447266,"$1,001 - $15,000",12/04/2023,94.16000366210938,94.69999694824219,97.4800033569336,95.41999816894531,94.80000305175781
20024109,Carol D. Miller,UNP,S,11/03/2023,212.1300048828125,"$15,001 -$50,000",12/04/2023,233.89999389648438,211.49000549316406,231.3699951171875,252.97999572753906,234.9600067138672
20023822,Max L. Miller,JEPI,S,10/06/2023,53.0099983215332,"$1,001 - $15,000",10/06/2023,53.0099983215332,53.459999084472656,53.59000015258789,54.790000915527344,57.09000015258789
20022533,Jared Moskowitz,BBY,S,02/24/2023,83.81999969482422,"$1,001 - $15,000",02/28/2023,83.11000061035156,83.26000213623047,74.31999969482422,,74.69999694824219
20022533,Jared Moskowitz,BRO,P,02/21/2023,56.25,"$1,001 - $15,000",02/28/2023,56.06999969482422,56.06999969482422,55.060001373291016,,71.38999938964844
20022533,Jared Moskowitz,CB,P,02/21/2023,208.77000427246094,"$1,001 - $15,000",02/28/2023,211.02000427246094,211.02000427246094,186.00999450683594,,199.89999389648438
20022533,Jared Moskowitz,COST,P,02/21/2023,501.739990234375,"$1,001 - $15,000",02/28/2023,484.17999267578125,484.17999267578125,487.760009765625,,544.9400024414062
20022533,Jared Moskowitz,DG,P,02/21/2023,226.61000061035156,"$1,001 - $15,000",02/28/2023,216.3000030517578,216.3000030517578,202.85000610351562,,162.99000549316406
20022533,Jared Moskowitz,HRL,P,02/21/2023,45.47999954223633,"$1,001 - $15,000",02/28/2023,44.380001068115234,44.380001068115234,37.95000076293945,,39.290000915527344
20022533,Jared Moskowitz,ITW,P,02/21/2023,233.39999389648438,"$1,001 - $15,000",02/28/2023,233.16000366210938,233.16000366210938,231.27999877929688,,235.77999877929688
20022533,Jared Moskowitz,INTC,S,02/13/2023,28.549999237060547,"$1,001 - $15,000",02/28/2023,24.93000030517578,,28.40999984741211,,34.88999938964844
20022533,Jared Moskowitz,INTC,S,02/13/2023,28.549999237060547,"$1,001 - $15,000",02/28/2023,24.93000030517578,,28.40999984741211,,34.88999938964844
